Date,Species,GroupSize,TransectID,Year
2018-12-04,Grant's gazelle,7,Rekero bushlands,2018
2017-10-20,Grant's gazelle,2,Enoolera plains,2017
2017-11-02,Grant's gazelle,4,Enoolera plains,2017
2017-11-02,Grant's gazelle,2,Enoolera plains,2017
2017-11-02,Grant's gazelle,2,Enoolera plains,2017
2017-11-02,Grant's gazelle,1,Enoolera plains,2017
2017-11-02,Grant's gazelle,1,Enoolera plains,2017
2017-11-02,Grant's gazelle,2,Enoolera plains,2017
2017-11-02,Grant's gazelle,1,Enoolera plains,2017
2017-11-02,Grant's gazelle,1,Enoolera plains,2017
2018-01-11,Grant's gazelle,2,Enoolera plains,2018
2018-03-01,Grant's gazelle,8,Enoolera plains,2018
2018-03-01,Grant's gazelle,1,Enoolera plains,2018
2018-03-01,Grant's gazelle,3,Enoolera plains,2018
2018-04-05,Grant's gazelle,6,Enoolera plains,2018
2018-04-05,Grant's gazelle,4,Enoolera plains,2018
2018-04-05,Grant's gazelle,2,Enoolera plains,2018
2018-05-03,Grant's gazelle,1,Enoolera plains,2018
2018-05-03,Grant's gazelle,5,Enoolera plains,2018
2018-06-21,Grant's gazelle,1,Enoolera plains,2018
2018-06-21,Grant's gazelle,1,Enoolera plains,2018
2018-09-06,Grant's gazelle,4,Enoolera plains,2018
2018-10-04,Grant's gazelle,1,Enoolera plains,2018
2018-10-04,Grant's gazelle,5,Enoolera plains,2018
2018-10-04,Grant's gazelle,1,Enoolera plains,2018
2018-11-01,Grant's gazelle,2,Enoolera plains,2018
2017-12-05,Grant's gazelle,1,Rekero plains,2017
2017-12-05,Grant's gazelle,2,Rekero plains,2017
2017-12-07,Grant's gazelle,1,Rekero plains,2017
2017-12-07,Grant's gazelle,1,Rekero plains,2017
2018-02-06,Grant's gazelle,1,Rekero plains,2018
2018-03-01,Grant's gazelle,1,Rekero plains,2018
2018-03-01,Grant's gazelle,2,Rekero plains,2018
2018-03-01,Grant's gazelle,2,Rekero plains,2018
2018-04-05,Grant's gazelle,1,Rekero plains,2018
2018-04-05,Grant's gazelle,1,Rekero plains,2018
2018-07-05,Grant's gazelle,2,Rekero plains,2018
2018-07-05,Grant's gazelle,3,Rekero plains,2018
2018-09-06,Grant's gazelle,5,Rekero plains,2018
2018-09-06,Grant's gazelle,2,Rekero plains,2018
2018-11-01,Grant's gazelle,1,Rekero plains,2018
2018-06-21,Grant's gazelle,2,Payia plains,2018
2018-06-21,Grant's gazelle,3,Payia plains,2018
2018-08-02,Grant's gazelle,4,Payia plains,2018
2018-09-06,Grant's gazelle,1,Payia plains,2018
2018-10-04,Grant's gazelle,4,Payia plains,2018
2018-12-05,Grant's gazelle,4,Payia plains,2018
2018-12-05,Grant's gazelle,1,Payia plains,2018
2017-10-17,Impala,1,Olare Sampu bushlands,2017
2017-10-17,Impala,2,Olare Sampu bushlands,2017
